date,value
02.07.2019,102.91
03.07.2019,106.66
05.07.2019,104.27
08.07.2019,99.86
09.07.2019,100.84
10.07.2019,99.39
11.07.2019,100.38
12.07.2019,100.09
15.07.2019,103.47
16.07.2019,99.06
17.07.2019,100.8
18.07.2019,101.92
19.07.2019,100.7
22.07.2019,98.64
23.07.2019,96.01
24.07.2019,94.79
25.07.2019,94.46
26.07.2019,93.62
29.07.2019,94.93
30.07.2019,93.38
31.07.2019,93.52
01.08.2019,91.27
02.08.2019,92.12
05.08.2019,89.77
06.08.2019,91.08
07.08.2019,91.58
08.08.2019,92.71
09.08.2019,93.23
12.08.2019,90.65
13.08.2019,93.57
14.08.2019,91.88
15.08.2019,91.98
16.08.2019,90.43
19.08.2019,88.97
20.08.2019,89.39
21.08.2019,90.71
22.08.2019,91.32
23.08.2019,90.15
26.08.2019,91.51
27.08.2019,91.18
28.08.2019,91.55
29.08.2019,89.39
30.08.2019,90.9
03.09.2019,89.68
04.09.2019,90.66
05.09.2019,89.54
06.09.2019,91.08
09.09.2019,92.21
10.09.2019,95.35
11.09.2019,97.04
12.09.2019,97.23
13.09.2019,96.43
16.09.2019,97.89
17.09.2019,94.18
18.09.2019,94.18
19.09.2019,92.3
20.09.2019,92.35
23.09.2019,92.91
24.09.2019,93.05
25.09.2019,94.74
26.09.2019,94.65
27.09.2019,94.7
30.09.2019,94.93
01.10.2019,95.12
02.10.2019,94.42
03.10.2019,95.78
04.10.2019,92.91
07.10.2019,91.04
08.10.2019,89.82
09.10.2019,89.58
10.10.2019,87.75
11.10.2019,87.94
14.10.2019,89.02
15.10.2019,88.64
16.10.2019,87.8
17.10.2019,87.19
18.10.2019,89.82
21.10.2019,90.43
22.10.2019,92.82
23.10.2019,91.74
24.10.2019,90.52
25.10.2019,93.34
28.10.2019,94.32
29.10.2019,92.87
30.10.2019,93.24
31.10.2019,95.68
01.11.2019,97.61
04.11.2019,97.28
05.11.2019,99.3
06.11.2019,101.36
07.11.2019,103.05
08.11.2019,104
11.11.2019,101.43
12.11.2019,101.59
13.11.2019,104.32
14.11.2019,104.65
15.11.2019,102.91
18.11.2019,102.49
19.11.2019,99.62
20.11.2019,104.13
21.11.2019,109.1
22.11.2019,108.54
25.11.2019,111.59
26.11.2019,109.67
27.11.2019,111.17
29.11.2019,111.73
02.12.2019,114.5
03.12.2019,116.19
04.12.2019,113.8
05.12.2019,117.18
06.12.2019,117.13
09.12.2019,120.51
10.12.2019,125.11
11.12.2019,126.89
12.12.2019,128.81
13.12.2019,122.85
16.12.2019,130.41
17.12.2019,125.48
18.12.2019,125.01
19.12.2019,119.38
20.12.2019,122.67
23.12.2019,117.6
24.12.2019,121.45
26.12.2019,119.47
27.12.2019,124.35
30.12.2019,124.03
31.12.2019,121.73
02.01.2020,119.29
03.01.2020,118.58
06.01.2020,114.64
07.01.2020,114.88
08.01.2020,111.83
09.01.2020,110.14
10.01.2020,111.64
13.01.2020,107.51
14.01.2020,107.84
15.01.2020,107.27
16.01.2020,106.01
17.01.2020,105.26
21.01.2020,104.22
22.01.2020,104.18
23.01.2020,105.68
24.01.2020,103.38
27.01.2020,100.05
28.01.2020,98.59
29.01.2020,95.78
30.01.2020,95.26
31.01.2020,96.34
03.02.2020,91.88
04.02.2020,92.12
05.02.2020,91.74
06.02.2020,92.12
07.02.2020,92.71
10.02.2020,94.81
11.02.2020,95.48
12.02.2020,96.04
13.02.2020,100.14
14.02.2020,104.5
18.02.2020,102.16
19.02.2020,102.3
20.02.2020,98.5
21.02.2020,103.47
24.02.2020,100.33
25.02.2020,101.83
26.02.2020,103.85
27.02.2020,103
28.02.2020,104.5
02.03.2020,108.49
03.03.2020,114.69
04.03.2020,111.12
05.03.2020,104.5
06.03.2020,100.8
09.03.2020,102.49
10.03.2020,107.32
11.03.2020,105.16
12.03.2020,102.16
13.03.2020,100.19
16.03.2020,97.51
17.03.2020,96.29
18.03.2020,101.64
19.03.2020,105.77
20.03.2020,112.34
23.03.2020,113.8
24.03.2020,117.88
25.03.2020,121.96
26.03.2020,116.99
27.03.2020,108.73
30.03.2020,111.97
31.03.2020,112.2
01.04.2020,108.87
02.04.2020,112.01
03.04.2020,107.84
06.04.2020,109.48
07.04.2020,112.75
08.04.2020,112.85
09.04.2020,111.96
13.04.2020,113.03
14.04.2020,111.07
15.04.2020,113.75
16.04.2020,112.34
17.04.2020,110.32
20.04.2020,108.17
21.04.2020,104.65
22.04.2020,105.16
23.04.2020,105.49
24.04.2020,100.19
27.04.2020,99.67
28.04.2020,100.99
29.04.2020,98.83
30.04.2020,99.77
01.05.2020,99.58
04.05.2020,100.61
05.05.2020,103.85
06.05.2020,103.8
07.05.2020,102.3
08.05.2020,104.79
11.05.2020,103.94
12.05.2020,100.75
13.05.2020,98.59
14.05.2020,100.14
15.05.2020,100.28
18.05.2020,101.13
19.05.2020,100.47
20.05.2020,99.16
21.05.2020,98.31
22.05.2020,97.23
26.05.2020,98.64
27.05.2020,96.2
28.05.2020,93.01
29.05.2020,90.38
01.06.2020,92.26
02.06.2020,92.16
03.06.2020,93.01
04.06.2020,92.12
05.06.2020,93.15
08.06.2020,93.5
09.06.2020,92.86
10.06.2020,92.15
11.06.2020,91.69
12.06.2020,91.04
15.06.2020,90
16.06.2020,89.72
17.06.2020,92.12
18.06.2020,90.8
19.06.2020,90
22.06.2020,91.98
23.06.2020,92.16
24.06.2020,91.79
25.06.2020,89.91
26.06.2020,90.71
29.06.2020,93.95
30.06.2020,94.79
01.07.2020,97.61
02.07.2020,96.86
06.07.2020,92.12
07.07.2020,94.13
08.07.2020,93.85
09.07.2020,92.68
10.07.2020,91.41
13.07.2020,92.59
14.07.2020,91.93
15.07.2020,91.22
16.07.2020,92.3
17.07.2020,96.01
20.07.2020,93.62
21.07.2020,95.5
22.07.2020,101.69
23.07.2020,100.89
24.07.2020,101.74
27.07.2020,103.61
28.07.2020,102.91
29.07.2020,104.74
30.07.2020,108.26
31.07.2020,111.64
03.08.2020,110.65
04.08.2020,113.61
05.08.2020,114.08
06.08.2020,109.81
07.08.2020,108.81
10.08.2020,106.69
11.08.2020,105.77
12.08.2020,106.81
13.08.2020,110.84
14.08.2020,109.29
17.08.2020,110.23
18.08.2020,113.61
19.08.2020,112.01
20.08.2020,111.64
21.08.2020,112.44
24.08.2020,112.76
25.08.2020,115.39
26.08.2020,114.59
27.08.2020,114.83
28.08.2020,118.58
31.08.2020,121.12
01.09.2020,123.32
02.09.2020,123.23
03.09.2020,123.13
04.09.2020,125.76
08.09.2020,123.98
09.09.2020,120.93
10.09.2020,123.6
11.09.2020,124.31
14.09.2020,115.49
15.09.2020,114.31
16.09.2020,112.48
17.09.2020,110.75
18.09.2020,106.52
21.09.2020,105.11
22.09.2020,103.85
23.09.2020,103.71
24.09.2020,104.32
25.09.2020,106.66
28.09.2020,102.82
29.09.2020,102.82
30.09.2020,104.13
01.10.2020,100.47
02.10.2020,102.25
05.10.2020,100.61
06.10.2020,101.03
07.10.2020,102.86
08.10.2020,103.47
09.10.2020,104.69
12.10.2020,102.44
13.10.2020,103.33
14.10.2020,102.86
15.10.2020,102.77
16.10.2020,100.66
19.10.2020,99.53
20.10.2020,98.45
21.10.2020,97.75
22.10.2020,100.14
23.10.2020,99.11
26.10.2020,100.09
27.10.2020,100.38
28.10.2020,98.55
29.10.2020,98.17
30.10.2020,97.98
02.11.2020,96.48
03.11.2020,97.09
04.11.2020,96.67
05.11.2020,99.44
06.11.2020,100.84
09.11.2020,101.3
10.11.2020,102.22
11.11.2020,104.53
12.11.2020,106.01
13.11.2020,105.3
16.11.2020,111.45
17.11.2020,112.15
18.11.2020,115.3
19.11.2020,115.63
20.11.2020,110.79
23.11.2020,109.85
24.11.2020,108.78
25.11.2020,109.95
27.11.2020,116.56
30.11.2020,115.72
01.12.2020,111.17
02.12.2020,111.78
03.12.2020,112.67
04.12.2020,110.32
07.12.2020,111.78
08.12.2020,111.92
09.12.2020,109.85
10.12.2020,113.61
11.12.2020,114.12
14.12.2020,118.4
15.12.2020,116.99
16.12.2020,118.82
17.12.2020,118.82
18.12.2020,117.55
21.12.2020,116.66
22.12.2020,116.56
23.12.2020,116.89
24.12.2020,118.21
28.12.2020,115.77
29.12.2020,117.69
30.12.2020,117.69
31.12.2020,120.37
04.01.2021,118.4
05.01.2021,117.41
06.01.2021,113.47
07.01.2021,113.66
08.01.2021,116.1
11.01.2021,113.98
12.01.2021,113.94
13.01.2021,117.55
14.01.2021,119.52
15.01.2021,120.27
19.01.2021,119.33
20.01.2021,117.5
21.01.2021,118.68
22.01.2021,116.42
25.01.2021,115.67
26.01.2021,116.85
27.01.2021,117.79
28.01.2021,116.38
29.01.2021,115.39
01.02.2021,117.64
02.02.2021,115.81
03.02.2021,116.33
04.02.2021,116.42
05.02.2021,117.25
08.02.2021,117.28
09.02.2021,116.55
10.02.2021,115.19
11.02.2021,115.49
12.02.2021,115.49
16.02.2021,118.44
17.02.2021,119.57
18.02.2021,121.35
19.02.2021,121.21
22.02.2021,126.65
23.02.2021,129.8
24.02.2021,128.81
25.02.2021,131.44
26.02.2021,129.05
01.03.2021,127.45
02.03.2021,125.62
03.03.2021,124.64
04.03.2021,124.03
05.03.2021,120.93
08.03.2021,121.21
09.03.2021,122.38
10.03.2021,122.81
11.03.2021,124.21
12.03.2021,124.82
15.03.2021,123.98
16.03.2021,126.23
17.03.2021,125.34
18.03.2021,121.96
19.03.2021,121.07
22.03.2021,122.1
23.03.2021,119.76
24.03.2021,118.72
25.03.2021,118.82
26.03.2021,120.6
29.03.2021,119.24
30.03.2021,115.06
31.03.2021,115.91
01.04.2021,114.12
05.04.2021,114.59
06.04.2021,119.05
07.04.2021,118.96
08.04.2021,120.35
09.04.2021,120.14
12.04.2021,121.3
13.04.2021,123.48
14.04.2021,125.81
15.04.2021,126.42
16.04.2021,123.13
19.04.2021,123.79
20.04.2021,126.18
21.04.2021,125.95
22.04.2021,127.78
23.04.2021,129.99
26.04.2021,134.54
27.04.2021,136.93
28.04.2021,136.88
29.04.2021,134.21
30.04.2021,132.75
03.05.2021,131.63
04.05.2021,131.72
05.05.2021,140.64
06.05.2021,144.81
07.05.2021,143.5
10.05.2021,138.95
11.05.2021,140.87
12.05.2021,137.49
13.05.2021,137.4
14.05.2021,136.09
17.05.2021,136.79
18.05.2021,143.41
19.05.2021,141.67
20.05.2021,141.67
21.05.2021,140.87
24.05.2021,139.84
25.05.2021,141.25
26.05.2021,146.13
27.05.2021,145.8
28.05.2021,152.37
01.06.2021,151.15
02.06.2021,151.24
03.06.2021,147.91
04.06.2021,151.71
07.06.2021,150.69
08.06.2021,148.81
09.06.2021,148.72
10.06.2021,150.52
11.06.2021,149.79
14.06.2021,146.6
15.06.2021,143.83
16.06.2021,145.89
17.06.2021,142.28
18.06.2021,142.61
21.06.2021,144.58
22.06.2021,142.75
23.06.2021,144.44
24.06.2021,143.97
25.06.2021,148.1
28.06.2021,152.7
